Nom de la donnée,Format,Longueur,Type,Description

id_query,NUMERIQUE,10,E,"defines the id of the query
mot,AN,200,E,a text word delimited by spaces in a query 
date_from,DATE,,E,date to search from
date_to,DATE,,E,date to search to

video_id,AN,11,E,The ID that YouTube uses to uniquely identify the video
video_snippet_publishedAt,date,,E,The date and time that the video was published. 
video_snippet_title,AN,100,E,The video's title
video_snippet_description,AN,5000,E,The video's description
video_snippet_defaultLanguage,AN,20,E,The language of the text in the video resource's snippet.title and snippet.description properties
video_snippet_defaultAudioLanguage,AN,20,E,Specifies the language spoken in the video's default audio track
video_statistics_viewCount,NUMERIQUE,12,E,The number of times the video has been viewed; NULL if option is disabled
video_statistics_likeCount,NUMERIQUE,12,E,The number of users who have indicated that they liked the video
video_statistics_dislikeCount,NUMERIQUE,12,E,The number of users who have indicated that they disliked the video
video_statistics_commentCount,NUMERIQUE,12,E,The number of comments for the video
video_fileDetails_durationMs,NUMERIQUE,12,E,The length of the uploaded video in milliseconds
video_fileDetails_creationTime,AN,25,E,The date and time when the uploaded video file was created.

commentthread_snippet_totalReplyCount,NUMERIQUE,12,C,The total number of replies that have been submitted in response to the top-level comment

Comments_id,AN,50,E,The ID that YouTube uses to uniquely identify the comment
Comments_snippet_textOriginal,AN,5000,E,"The original, raw text of the comment as it was initially posted or last updated. The original text is only returned if it is accessible to the authenticated user, which is only guaranteed if the user is the comment's author."
Comments_snippet_likeCount,NUMERIQUE,12,E,The total number of likes
Comments_snippet_publishedAt,date,,E,The date and time when the comment was orignally published
Comments_snippet_updatedAt,date,,E,The date and time when the comment was last updated

channel_id,AN,30,E,The ID that YouTube uses to uniquely identify the channel
channel_snippet_title,AN,30,E,The channel's title
channel_snippet_description,AN,1000,E,The channel's description
channel_snippet_customUrl,AN,40,E,The channel's custom URL
channel_snippet_publishedAt,date,,E,The date and time that the channel was created
channel_snippet_defaultLanguage,AN,10,E,The language of the text in the channel resource's snippet.title and snippet.description properties
channel_snippet_country,AN,29,E,The country with which the channel is associated
channel_statistics_viewCount,NUMERIQUE,12,E,The number of times the channel has been viewed
channel_statistics_commentCount,NUMERIQUE,12,E,The number of comments for the channel
channel_statistics_subscriberCount,NUMERIQUE,12,E,The number of subscribers that the channel has ; NULL
channel_statistics_videoCount,NUMERIQUE,12,E,The number of videos uploaded to the channel
